gb_id,title,subtitle,authors,publisher,pub_date,language,categories,isbn13,isbn10,price_amount,price_currency
,The Bitcoin Standard,The Decentralized Alternative to Central Banking,Saifedean Ammous,John Wiley & Sons,,en,Business & Economics,9781119473893,1119473896,,
,Digital Gold,The Untold Story of Bitcoin,Nathaniel Popper,Penguin UK,,en,Business & Economics,9780241181003,0241181003,,
,Bitcoin Billionaires,"A True Story of Genius, Betrayal and Redemption",Ben Mezrich,Hachette UK,,en,Business & Economics,9781408711880,1408711885,,
,Blockchain Revolution,"The Brilliant Technology Changing Money, Business and the World","Don Tapscott,Alex Tapscott",Portfolio Canada,,en,Data encryption (Computer science),9780670069972,0670069973,,
,Mastering Bitcoin,Unlocking Digital Cryptocurrencies,Andreas M. Antonopoulos,"""O'Reilly Media, Inc.""",,en,Business & Economics,9781491902646,1491902647,,
,The Basics of Bitcoins and Blockchains,An Introduction to Cryptocurrencies and the Technology that Powers Them,Antony Lewis,Mango Media Inc.,,en,Business & Economics,9781633538016,163353801X,,
,The Age of Cryptocurrency,How Bitcoin and Digital Money Are Challenging the Global Economic Order,"Paul Vigna,Michael J. Casey",Macmillan + ORM,,en,Business & Economics,9781466873063,146687306X,,
,Cryptoassets: The Innovative Investor's Guide to Bitcoin and Beyond,,"Chris Burniske,Jack Tatar",McGraw Hill Professional,,en,Business & Economics,9781260026689,126002668X,,
,Bitcoin,"A Woman's Best Friend: Taking Control of Your Money, Your Future, and Your Freedom",BIT. BITCOIN,Independently Published,,en,Business & Economics,9798266741966,,,
,,,,,,,,,,,
