gb_id,title,subtitle,authors,publisher,pub_date,language,categories,isbn13,isbn10,price_amount,price_currency
9O3ukwEACAAJ,A Slip of the Keyboard,Collected Non-fiction,"Terence David John Pratchett,Terry Pratchett",Doubleday,2014-09-25,en,English essays,9780857521224,0857521225,,
_XzAr_IHhvEC,Non-Fiction,,Chuck Palahniuk,Random House,2011-06-30,en,Literary Collections,9781446483985,1446483983,12.99,EUR
BpUrAQAAMAAJ,Selected Non-Fictions,,Jorge Luis Borges,Penguin Books,2000-11,en,Biography & Autobiography,,,,
rrG6CQAAQBAJ,Human Body Theater,A Non-Fiction Revue,Maris Wicks,Macmillan,2015-10-06,en,Juvenile Nonfiction,9781596439290,1596439297,,
tN8OEAAAQBAJ,Empire of Pain,The Secret History of the Sackler Dynasty,Patrick Radden Keefe,Pan Macmillan,2021-04-20,en,True Crime,9781529063080,1529063086,14.24,EUR
2KboDwAAQBAJ,The Complete Works of Mark Twain,"The Novels, short stories, essays and satires, travel writing, non-fiction, the complete letters, the complete speeches, and the autobiography of Mark Twain Mark Twain",Mark Twain,e-artnow,2014-02-27,en,Juvenile Fiction,9788026807445,8026807448,,
IV9nHgAACAAJ,True Stories,Selected Non-fiction,Helen Garner,,1996,en,Australia,9781875847242,1875847243,,
ZC4vAQAAIAAJ,Kapuściński non-fiction,,Artur Domosławski,,2010,pl,"Authors, Polish",,,,
aH0pEAAAQBAJ,The Scribe Method,The Best Way to Write and Publish Your Non-Fiction Book,"Tucker Max,Zach Obront",Lioncrest Publishing,2021-04-15,en,Reference,9781544514055,1544514050,,
SBU6EQAAQBAJ,How To Write Non-Fiction Second Edition,Turn Your Knowledge Into Words,Joanna Penn,The Creative Penn,2025-01-31,en,Language Arts & Disciplines,9781915425751,1915425751,11.44,EUR
z-INANBuMBQC,"On Writing Well, 25th Anniversary",The Classic Guide to Writing Nonfiction,"William K. Zinsser,William Zinsser",Harper Collins,2001,en,Language Arts & Disciplines,9780060006648,0060006641,,
EBQn0AEACAAJ,Self-Promote and Succeed,"The 'No Boring Books' Way to Build Your Brand, Attract Your Audience, and Market Your Non-Fiction Book",Julie Broad,,2023-10-03,en,,9781736031513,1736031511,,
R0HaAQAACAAJ,How to Write and Publish Nonfiction Books on Amazon That Will Sell,A Step by Step Guide,Steve Pease,Createspace Independent Publishing Platform,2017-03-27,en,,9781544979069,1544979061,,
LJ-qzQEACAAJ,Why Do You Look at Me and See a Girl?,,Anvi Hoàng,Guernica World Editions,2021-04,en,,9781771834452,1771834455,,
qtZ91DNvgBMC,Documentary,A History of the Non-fiction Film,Erik Barnouw,,1993,en,Performing Arts,9780195078985,0195078985,,
vF4-jwEACAAJ,The View from the Cheap Seats,Selected Nonfiction,Neil Gaiman,,2016-05-31,en,Creative nonfiction,9781472208019,1472208013,,
cqdhDwAAQBAJ,Rocket Fuel,Some of the Best From Tor.com Non-Fiction,"Bridget McGovern,Chris Lough",Tordotcom,2018-07-17,en,Literary Criticism,9781250216625,1250216621,0.0,EUR
BBipQgAACAAJ,Sammlung,,"Jorge Luis Borges,Eliot Weinberger",Penguin Modern Classics,1999,en,Argentine literature,9780141183022,0141183020,,
9G89DwAAQBAJ,True Stories,The Collected Short Non-Fiction,Helen Garner,Text Publishing,2017-10-30,en,Literary Collections,9781925498875,1925498875,,
,,,,,,,,,,,
