titulo,autores,isbn13,isbn10,fecha_publicacion,idioma,editorial,categoria,rating,ratings_count,price_amount,fuente
The View from the Cheap Seats,Neil Gaiman,9781472208019,1472208013,2016-05-31,en,,Creative nonfiction,3.96,16349.0,,googlebooks
Write Short Kindle Books: A Self-Publishing Manifesto for Non-Fiction Authors (Indie Author Success #1),Nathan Meunier,,,,,,,4.19,325.0,,goodreads
Kapuściński non-fiction,Artur Domosławski,9788324719068,8324719067,2010,pl,,"Authors, Polish",4.08,999.0,,googlebooks
Empire of Pain,Patrick Radden Keefe,9781529063080,1529063086,2021-04-20,en,Pan Macmillan,True Crime,4.54,132288.0,14.24,googlebooks
True Stories,Helen Garner,9781875847242,1875847243,2017-10-30,en,Text Publishing,Literary Collections,4.12,1275.0,,googlebooks
Human Body Theater,Maris Wicks,9781596439290,1596439297,2015-10-06,en,Macmillan,Juvenile Nonfiction,4.42,1945.0,,googlebooks
,,,,,,,,,,,googlebooks
Why Do You Look at Me and See a Girl?,Anvi Hoàng,9781771834452,1771834455,2021-04,en,Guernica World Editions,,4.65,151.0,,googlebooks
A Slip of the Keyboard,"Terence David John Pratchett,Terry Pratchett",,,2014-09-25,en,Doubleday,English essays,,,,googlebooks
The Scribe Method,"Tucker Max,Zach Obront",9781544514055,1544514050,2021-04-15,en,Lioncrest Publishing,Reference,4.1,232.0,,googlebooks
Rocket Fuel,"Bridget McGovern,Chris Lough",,,2018-07-17,en,Tordotcom,Literary Criticism,3.43,162.0,0.0,googlebooks
"On Writing Well, 25th Anniversary","William K. Zinsser,William Zinsser",9780060006648,0060006641,2001,en,Harper Collins,Language Arts & Disciplines,4.23,30594.0,,googlebooks
How to Write and Publish Nonfiction Books on Amazon That Will Sell,Steve Pease,,,2017-03-27,en,Createspace Independent Publishing Platform,,3.95,452.0,,googlebooks
Sammlung,"Jorge Luis Borges,Eliot Weinberger",,,1999,en,Penguin Modern Classics,Argentine literature,,,,googlebooks
How To Write Non-Fiction Second Edition,Joanna Penn,,,2025-01-31,en,The Creative Penn,Language Arts & Disciplines,4.19,476.0,11.44,googlebooks
Documentary,Erik Barnouw,9780195078985,0195078985,1993,en,,Performing Arts,3.86,438.0,,googlebooks
A Slip of the Keyboard: Collected Non-Fiction,Terry Pratchett,9780857521224,0857521225,,,,,4.24,5999.0,,goodreads
Non-Fiction,Chuck Palahniuk,,,2011-06-30,en,Random House,Literary Collections,3.57,22918.0,12.99,googlebooks
Self-Promote and Succeed,Julie Broad,9781736031513,1736031511,2023-10-03,en,,,4.61,46.0,,googlebooks
Selected Non-Fictions,Jorge Luis Borges,9780140290110,0140290117,2000-11,en,Penguin Books,Biography & Autobiography,4.44,2363.0,,googlebooks
The Total Library: Non-Fiction 1922-1986,Jorge Luis Borges,9780141183022,0141183020,,,,,4.41,251.0,,goodreads
The Complete Works of Mark Twain,Mark Twain,9788026807445,8026807448,2014-02-27,en,e-artnow,Juvenile Fiction,4.4,2147.0,,googlebooks
